origin,target,iso3c_origin,iso3c_target,year,doc_id,llm_score,justification
USA,China,USA,CHN,2023,usa_001,-0.62,"The statement expresses grave concern over China's trade practices and calls for accountability."
USA,China,USA,CHN,2023,usa_002,-0.71,"Strong condemnation of China's actions in the South China Sea framed as a violation of international law."
USA,China,USA,CHN,2023,usa_003,-0.45,"Critical language regarding technology transfer restrictions and espionage allegations."
USA,China,USA,CHN,2022,usa_004,-0.58,"Expressions of concern over human rights situation in Xinjiang; calls for independent investigation."
USA,China,USA,CHN,2022,usa_005,0.15,"Acknowledgement of cooperative dialogue on climate change; cautiously positive framing."
CHN,USA,CHN,USA,2023,chn_001,-0.55,"China's statement condemns US interference in internal affairs and describes sanctions as illegal unilateralism."
CHN,USA,CHN,USA,2023,chn_002,-0.67,"Sharp criticism of US military presence in the Taiwan Strait; language of sovereignty violation."
CHN,USA,CHN,USA,2022,chn_003,0.22,"Reference to shared interests in global economic stability and willingness to engage in constructive dialogue."
CHN,Russia,CHN,RUS,2023,chn_004,0.78,"Affirmation of strategic partnership; language of mutual trust and deep cooperation."
CHN,Russia,CHN,RUS,2023,chn_005,0.81,"Joint statement language emphasising no-limits partnership and common vision for multipolar world."
CAN,USA,CAN,USA,2023,can_001,0.72,"Celebration of long-standing alliance; references to shared democratic values and deep economic integration."
CAN,USA,CAN,USA,2023,can_002,0.65,"Positive framing around CUSMA trade relationship and commitment to bilateral cooperation."
CAN,Russia,CAN,RUS,2023,can_003,-0.88,"Condemnation of Russia's illegal invasion of Ukraine; calls for immediate withdrawal and accountability."
CAN,Russia,CAN,RUS,2023,can_004,-0.79,"Announcement of additional sanctions package; language of grave concern and international law violation."
CAN,Ukraine,CAN,UKR,2023,can_005,0.91,"Strong expression of solidarity with Ukraine; announcement of military and financial support packages."
